Company_ID,Company_Name,Industry,Country,Reporting_Year,Revenue_Million_USD,Employee_Count,Carbon_Emissions_tCO2,Renewable_Energy_Percent,Waste_Recycled_Percent,Water_Usage_ML,Environmental_Score,Gender_Diversity_Percent,Employee_Satisfaction_Score,Training_Hours_Per_Employee,Community_Investment_Million,Social_Score,Board_Independence_Percent,Ethics_Compliance_Score,Audit_Score,Governance_Score,ESG_Rating,Overall_ESG_Score
ESG100000,"Maxwell, Mendez and Fitzgerald",Manufacturing,India,2023,1903.97,16149,95076.36,73.2,59.87,788.53,40.92,12.9,8.8,60.11,70.81,31.44,97.59,,44.86,42.73,AA,42.84
ESG100001,,Energy,,2026,1556,38798,52523.17,43.19,29.12,,39.76,24.61,4.3,45.61,78.52,,61.14,71.47,33.25,72.53,BBB,41.94
ESG100002,"Murphy, Jordan and Owens",Technology,India,2026,372.01,14428,94893.67,96.56,80.84,1530.02,36.84,44.21,4.96,,49.52,32.41,92.75,48.11,76.38,51.82,AA,66.4
ESG100003,Cervantes LLC,Technology,,2025,2756.22,14546,,96.96,77.51,,,,9.3,8.85,19.6,33.17,46.03,,48.99,88.01,BBB,54.97
ESG100004,Khan PLC,Healthcare,India,2021,1440.63,45853,,14.09,80.22,,99.08,48.61,,0.55,81.55,79.48,78.32,83.99,,55.09,BBB,38.11
ESG100005,Butler-Graham,Retail,,2021,4322.36,14210,62367.48,33.09,6.36,1561.8,52.76,46.48,6.74,88.72,47.22,38.37,77.06,83.25,69.29,,A,
ESG100006,"Green, Jones and Mccarthy",Manufacturing,USA,,2637.53,,42811.35,2.54,10.79,166.83,74.55,25.72,5.58,,24.93,58.73,80.44,46.02,35.39,50.28,,41.29
ESG100007,Harris LLC,Retail,Canada,2019,4652,47923,80831.23,63.34,87.15,4020.32,43.06,54.63,5.85,80.74,89.61,,28.8,45.96,59.9,87.26,,90.25
ESG100008,Barnes-Greene,Manufacturing,Singapore,2026,84.41,36278,51123.66,41.74,22.21,608.13,53.63,,3.91,51.88,70.3,55.45,97.74,97.37,,64.81,,51.06
ESG100009,Brock-Benton,Retail,Germany,2026,1459.96,3103,3785.01,60.96,,266.88,49.51,55.41,3.16,,48.95,99,39.36,77.05,83.31,46.63,B,80.98
